Drug Name,Drug ID,Cell Line Name,Cosmic ID,TCGA Classification,Tissue,Tissue Sub-type,IC50,AUC,Max Conc,RMSE,Z score,Dataset Version
"Camptothecin","1003","COLO-829","687448","SKCM","skin","melanoma","-1.235034018118341",".86734832580708154",".10000000000000001",".093470330414496636",".55772671997746792","GDSC2"
"Camptothecin","1003","CP50-MEL-B","753545","SKCM","skin","melanoma","-2.0360136175385568",".89775076762283768",".10000000000000001",".13571328311210193",".12161869875565079","GDSC2"
"Camptothecin","1003","CP66-MEL","753546","SKCM","skin","melanoma","-.69238820971016712",".92911629652960748",".10000000000000001",".083923897306248843",".85318017459791173","GDSC2"
"Camptothecin","1003","LB2518-MEL","753579","SKCM","skin","melanoma","-.81683676306499642",".94881539725283048",".10000000000000001",".085215732776032269",".78542187914721928","GDSC2"
"Camptothecin","1003","LB373-MEL-D","753581","SKCM","skin","melanoma","-.14909222037606293",".97204828013114386",".10000000000000001",".068621471653178764","1.1489876321383414","GDSC2"
"Camptothecin","1003","MZ7-mel","753596","SKCM","skin","melanoma","-1.5911644669770444",".91654758371396983",".10000000000000001",".060779740772243171",".36382497084299831","GDSC2"
"Camptothecin","1003","SK-MEL-28","905954","SKCM","skin","melanoma","-1.82651475834121",".88265207087769326",".10000000000000001",".08867326302549941",".23568419180805358","GDSC2"
"Camptothecin","1003","SK-MEL-2","905955","SKCM","skin","melanoma",".99735167273416103",".99151781128264449",".10000000000000001",".06513706640341238","1.7731900188508605","GDSC2"
"Camptothecin","1003","SK-MEL-5","905956","SKCM","skin","melanoma","-2.2855899930313011",".8586090136688167",".10000000000000001",".094477598771083027","-.014267732482596388","GDSC2"
"Camptothecin","1003","LOXIMVI","905974","SKCM","skin","melanoma","-2.713817662872573",".84220409675503061",".10000000000000001",".090663375617564781","-.24742413479557307","GDSC2"
"Camptothecin","1003","M14","905975","SKCM","skin","melanoma","-2.9780297700841487",".81091833979612682",".10000000000000001",".070046214490383479","-.3912792583746153","GDSC2"
"Camptothecin","1003","UACC-62","905976","SKCM","skin","melanoma","-3.4554922934766394",".76329016883998846",".10000000000000001",".13488978171245875","-.65124247895476151","GDSC2"
"Camptothecin","1003","UACC-257","905977","SKCM","skin","melanoma",".1592590189410443",".95292096222599287",".10000000000000001",".058876990294004249","1.3168751150620226","GDSC2"
"Camptothecin","1003","A2058","906792","SKCM","skin","melanoma","-2.9761965220451625",".83724062704111657",".10000000000000001",".1834232145566049","-.39028111288468054","GDSC2"
"Camptothecin","1003","A375","906793","SKCM","skin","melanoma","-4.323502780976928",".67440363523018088",".10000000000000001",".11248048088732378","-1.1238466955634545","GDSC2"
"Camptothecin","1003","COLO-800","906813","SKCM","skin","melanoma","-2.1122386353737044",".88132457525112284",".10000000000000001",".082831759571785263",".080116590936991999","GDSC2"
"Camptothecin","1003","COLO-792","906814","SKCM","skin","melanoma","-.21151596588021215",".96425951870361115",".10000000000000001",".089299746762604174","1.1149998799549219","GDSC2"
"Camptothecin","1003","COLO-679","906818","SKCM","skin","melanoma","-2.43579672636247",".83561044579375898",".10000000000000001",".075405483099066625","-.096050541051835414","GDSC2"
"Camptothecin","1003","C32","906830","SKCM","skin","melanoma","-2.9684775891523207",".80809550449032264",".10000000000000001",".10555574427526143","-.38607839841819741","GDSC2"
"Camptothecin","1003","G-361","906865","SKCM","skin","melanoma","-1.6574838118352586",".90964646669885374",".10000000000000001",".099376856117285375",".32771618820261844","GDSC2"
"Camptothecin","1003","HMV-II","907058","SKCM","skin","melanoma","-1.8129550861572266",".87277862516343996",".10000000000000001",".073937948420663188",".24306700381581756","GDSC2"
"Camptothecin","1003","HT-144","907067","SKCM","skin","melanoma","-1.9690753621598158",".89602945061155537",".10000000000000001",".087043113762710511",".15806445857074977","GDSC2"
"Camptothecin","1003","IGR-1","907169","SKCM","skin","melanoma","-1.1193430709033187",".94720024303470995",".10000000000000001",".086269604000943453",".62071677627820487","GDSC2"
"Camptothecin","1003","IPC-298","907171","SKCM","skin","melanoma","-2.2290095141668642",".8745348771894117",".10000000000000001",".10011654666523896",".016538546098298051","GDSC2"
"Camptothecin","1003","IST-MEL1","907172","SKCM","skin","melanoma","-2.6872526471115838",".8112542320755336",".10000000000000001",".13791691357013791","-.23296032514843942","GDSC2"
"Camptothecin","1003","MEL-HO","908124","SKCM","skin","melanoma","-1.1913135664772567",".93210662559590096",".10000000000000001",".084056882173015712",".5815311210707278","GDSC2"
"Camptothecin","1003","MEL-JUSO","908125","SKCM","skin","melanoma","-.74257917668953988",".94914934607763835",".10000000000000001",".061544425581672543",".825852782853568","GDSC2"
"Camptothecin","1003","Mewo","908128","SKCM","skin","melanoma","-.23623774590990892",".94813868192066575",".10000000000000001",".054566037684639197","1.1015396537798281","GDSC2"
"Camptothecin","1003","RVH-421","909706","SKCM","skin","melanoma","-.97533007839236152",".94046793857151856",".10000000000000001",".089471882833040042",".69912728915474642","GDSC2"
"Camptothecin","1003","SH-4","909713","SKCM","skin","melanoma","-1.9819378418349396",".87193209598194799",".10000000000000001",".081107703385952995",".15106124580080604","GDSC2"
"Camptothecin","1003","SK-MEL-1","909723","SKCM","skin","melanoma","-2.3091001467872019",".84716902378167525",".10000000000000001",".088897757007198958","-.027068266529316338","GDSC2"
"Camptothecin","1003","SK-MEL-3","909724","SKCM","skin","melanoma","-1.5966981773642706",".91041084365645686",".10000000000000001",".073258194728069173",".36081204081489937","GDSC2"
